LogT,SqrtGstar,Heff,Geff
-4.7,2.141150000050396,3.938720000033593,3.383869999916023
-4.668,2.1411504148513165,3.9387205222587394,3.3838683258163584
-4.636,2.1411505016309187,3.9387195698924216,3.3838722220612314
-4.604,2.1411581251280536,3.9387197644358083,3.3838790673848194
-4.572,2.141183712866918,3.938721165045245,3.3838811157678124
-4.54,2.14120087996682,3.938736000169192,3.383895600161945
-4.508,2.141245919613193,3.938780645883674,3.3839463129717275
-4.476,2.141624484590091,3.9388534864268547,3.3840434403765394
-4.444,2.1421522547463905,3.9391055110267126,3.384358551320992
-4.412,2.1426781004342548,3.9397045304730116,3.385088153586679
-4.38,2.144336533103564,3.9403963865622806,3.3860715035193896
-4.348,2.1482493440322856,3.9421130206956114,3.3883221954918152
-4.316,2.1558444279757647,3.946440407233859,3.393493408809394
-4.284,2.16573179114884,3.9535775624300817,3.4020271180611776
-4.252,2.1791224437224854,3.964791871055496,3.41541482488931
-4.220000000000001,2.199971550154479,3.982101481719727,3.4359132091218507
-4.188000000000001,2.228567981184377,4.008069363405887,3.466322353309388
-4.156000000000001,2.2656679150076955,4.04539837803221,3.509543199736395
-4.1240000000000006,2.31260782213809,4.0971468932505575,3.5687987756540154
-4.0920000000000005,2.3699365882226417,4.166629160930712,3.647366966651208
-4.0600000000000005,2.4380167154623558,4.257217740850844,3.7485224606086613
-4.0280000000000005,2.516726812936941,4.372479893850793,3.875516247449396
-3.9960000000000004,2.6055564908651347,4.515670459526907,4.031374968254009
-3.9640000000000004,2.7038259838828385,4.689953618752033,4.219047912698376
-3.9320000000000004,2.809832475325452,4.898484673019665,4.441475307204003
-3.9000000000000004,2.9193263461693033,5.1424353529436235,4.69997621493041
-3.8680000000000003,3.0258527450227493,5.422480303704672,4.995493151866649
-3.8360000000000003,3.1239466444022033,5.734021507247608,5.324604163174117
-3.8040000000000003,3.2099140057357296,6.072111453730977,5.683181189107152
-3.7720000000000002,3.2833519706545995,6.430430778865908,6.065697037808356
-3.74,3.3394742462050138,6.800865025571688,6.463553385809731
-3.708,3.375111279855237,7.174046088724413,6.86674481591761
-3.676,3.390158830529679,7.535105386054029,7.259229970462606
-3.644,3.393023577978375,7.877590709902273,7.633789175543387
-3.612,3.3930712581581717,8.196902081854363,7.985094324110819
-3.58,3.389343670154728,8.492112950864628,8.311372797959066
-3.548,3.3828456926536794,8.762304276028773,8.610555038078667
-3.516,3.3746397319855883,9.006871135546874,8.880637813938263
-3.484,3.365512286518076,9.226514847718311,9.121664161848146
-3.452,3.356526341632375,9.422315243665858,9.334888362010425
-3.42,3.34930039760718,9.595656116653327,9.522910290756165
-3.388,3.3438186176793874,9.750119077364985,9.690126208357613
-3.356,3.3395165446449697,9.888111440678752,9.839445188915214
-3.324,3.333738638195216,10.009896234125105,9.97096151057669
-3.2920000000000003,3.327686225563707,10.116808911015593,10.085957802973638
-3.2600000000000002,3.3225928403285145,10.210243293566823,10.185825582703343
-3.228,3.318205079414906,10.291515470950348,10.272118957216618
-3.196,3.314707399092456,10.3623972485879,10.346955564029564
-3.164,3.3123433832895004,10.42481420200964,10.412660964060503
-3.132,3.3098870742271758,10.47940547882633,10.47001693454506
-3.1,3.3071499894038823,10.526900177058346,10.519800185143403
-3.068,3.3045625587183287,10.567922779545842,10.562572542610456
-3.036,3.3020726920375236,10.60312479994915,10.598961733293441
-3.0040000000000004,3.299764640429929,10.633172209036253,10.629707562584825
-2.9720000000000004,3.2978082945632576,10.65871932888466,10.655697211956541
-2.9400000000000004,3.296629538187991,10.680563091685308,10.677861491386524
-2.9080000000000004,3.2964508156724155,10.699566843190963,10.697181216339203
-2.8760000000000003,3.29698712039285,10.71705664868861,10.71506769449569
-2.8440000000000003,3.297456189161692,10.733082755915913,10.73158412811049
-2.8120000000000003,3.297071181954805,10.74745835970357,10.746534830129084
-2.7800000000000002,3.296439032434185,10.760037031645297,10.75972504297801
-2.748,3.2956165567914404,10.770823930325108,10.77105019386402
-2.716,3.294490760418248,10.779898920092062,10.780431412305271
-2.684,3.2932429593514887,10.787238312562703,10.787815656210766
-2.652,3.2920828749825417,10.792986215426234,10.793399461980597
-2.62,3.2913670423636967,10.797403160886997,10.797641564073553
-2.588,3.291022252415972,10.801001245668942,10.800984410940103
-2.556,3.2910090147503825,10.804150787889249,10.803808109502565
-2.524,3.291292725479775,10.806960135020773,10.806353879398833
-2.492,3.2918292409793515,10.809721016616544,10.809039090819605
-2.46,3.292521285875374,10.812665630315998,10.812176834193984
-2.428,3.292915903378546,10.815691201985693,10.815498393021741
-2.396,3.293042076109009,10.818658386595688,10.818798387902445
-2.3640000000000003,3.2930678710639767,10.821391715895174,10.821851713003893
-2.3320000000000003,3.2929858271559884,10.82382658632681,10.824622250983182
-2.3000000000000003,3.2927499973479586,10.825900012079304,10.827000013496429
-2.2680000000000002,3.292224954874237,10.827582700614668,10.828845261706723
-2.236,3.2915460672315113,10.828690303483507,10.829996843977234
-2.204,3.2908408852956277,10.829176135973245,10.830397529856727
-2.172,3.2902813280446397,10.829115776754684,10.830053024694674
-2.14,3.2900056023831477,10.828745601767231,10.829344802932193
-2.108,3.2902929390173816,10.82840276546772,10.828743558865922
-2.076,3.2921008055752337,10.82862412647406,10.828842000892953
-2.044,3.2950951016118655,10.830508826459077,10.831042145034782
-2.012,3.298752558320962,10.83512236367979,10.83670589821279
-1.98,3.3026238928718867,10.841323842691427,10.844283010839366
-1.948,3.3081548539864136,10.850283959275364,10.855126367055922
-1.916,3.318042717457508,10.864147333857,10.871805123855193
-1.8840000000000003,3.3310100968374563,10.884635583827937,10.89624417713328
-1.8520000000000003,3.3479564620107847,10.91400355613722,10.93118343046932
-1.8200000000000003,3.371286136576287,10.95441268105059,10.979192836543566
-1.7880000000000003,3.40417159072997,11.011394489462448,11.048178030179768
-1.7560000000000002,3.447897707772677,11.090496790003506,11.145699725605386
-1.7240000000000002,3.5006536056990054,11.199154500386342,11.282388268736915
-1.6920000000000002,3.558197653979451,11.338756408267093,11.45491485216942
-1.6600000000000001,3.616416594158063,11.509413885457512,11.658114989852438
-1.6280000000000001,3.673272913979131,11.708162049102597,11.883054362122568
-1.596,3.7265452685929414,11.929880398618092,12.125718006042963
-1.564,3.774080339293539,12.168462595207593,12.383438531468231
-1.532,3.8188900265533077,12.420285667875563,12.652981520272288
-1.5,3.861599583609212,12.682197327310643,12.93119717296118
-1.468,3.901763405372797,12.951676120316394,13.214916732170872
-1.436,3.9392802754486467,13.22604269717111,13.501323995581094
-1.404,3.9742245858186953,13.502836229771034,13.787797682558537
-1.3719999999999999,4.0069386484826515,13.779922784723004,14.072111263604748
-1.3400000000000003,4.037775466517487,14.05550840400751,14.352680382662552
-1.3080000000000003,4.067296535977418,14.328552894209928,14.628579619356644
-1.2760000000000002,4.096197420522851,14.59822631046156,14.899607597221815
-1.2440000000000002,4.125420839509253,14.864997284215832,15.166371292948636
-1.2120000000000002,4.15622000064057,15.129792754210621,15.430713282279255
-1.1800000000000002,4.190548803042659,15.395111262932767,15.695819261874906
-1.1480000000000001,4.234096449181242,15.666065724891727,15.968245523521515
-1.116,4.295725873715545,15.954281059069636,16.2620273681476
-1.084,4.378929480607088,16.27716150718257,16.59812009802743
-1.052,4.475997051531491,16.648568629979053,16.99312563211559
-1.02,4.588612043290438,17.077594410789352,17.457187851339096
-0.988,4.727353775435893,17.582339502734932,18.00847647524622
-0.956,4.939225282739756,18.19368923110957,18.71689097338032
-0.9239999999999999,5.430022175757235,19.082042637648907,19.852370592813582
-0.8919999999999999,6.086844734817841,20.49717369022778,21.48170545955456
-0.8600000000000003,6.892909508867195,22.55326767672886,23.885655187971917
-0.8280000000000003,7.781747913865716,25.466581691047345,27.306419292711077
-0.7960000000000003,8.402801047982086,29.184831780900538,31.632915978709246
-0.7640000000000002,8.576307767646433,33.26256032243658,36.263246135020076
-0.7320000000000002,8.456435790883116,37.15828610989555,40.51489004635213
-0.7000000000000002,8.298388149814917,40.59985045611009,44.089651093385406
-0.6680000000000001,8.223142222309843,43.60797840191809,47.07287235221
-0.6360000000000001,8.217973310222256,46.30044559470179,49.6564090997256
-0.6040000000000001,8.243710534384427,48.7597679485262,51.96758782972118
-0.5720000000000001,8.276028633013262,51.02414075285225,54.06544466667525
-0.54,8.307815475705715,53.10931032419717,55.97506467735581
-0.508,8.340052464763327,55.02856709531376,57.71580081768217
-0.476,8.375252499000329,56.79892173955493,59.31031950719873
-0.44399999999999995,8.414922141042569,58.44040775490808,60.783817010511946
-0.4119999999999999,8.459002278823258,59.97354877873204,62.16065182166936
-0.3799999999999999,8.5062991471673,61.416446183047796,63.461170543767544
-0.34799999999999986,8.555052977568893,62.78353523423442,64.70056875953777
-0.31599999999999984,8.6031331793311,64.08493709926711,65.88782706694496
-0.2839999999999998,8.649168432065506,65.3261625038155,67.0267903735103
-0.2519999999999998,8.69230370914869,66.51035214390953,68.11827102218795
-0.21999999999999975,8.732536862027725,67.63907870158951,69.16214113444389
-0.18799999999999972,8.770615256647595,68.71448154916581,70.15887729113088
-0.1559999999999997,8.807883980248715,69.74011374239556,71.11156120218149
-0.12399999999999967,8.845416628985918,70.72135781847687,72.0256506108049
-0.09199999999999964,8.88392439398865,71.66463385919444,72.90805314358671
-0.0600000000000005,8.923444447823785,72.57666666132288,73.76581860472311
-0.02800000000000047,8.963453634512817,73.46297657133117,74.6042492478767
0.0039999999999995595,9.00307553418525,74.32721442942952,75.4265626746139
0.03599999999999959,9.041283993967792,75.170953952525,76.23310533951451
0.06799999999999962,9.077178140822381,75.99343817226323,77.02173657550492
0.09999999999999964,9.110068455819462,76.79236111728052,77.78866267993428
0.13199999999999967,9.139482714182495,77.56451887893492,78.52917464552277
0.1639999999999997,9.165226037809754,78.30595116983251,79.238172169021
0.19599999999999973,9.18733505614791,79.01302850395392,79.91113405430607
0.22799999999999976,9.20596620659444,79.68223115070074,80.54402210111542
0.2599999999999998,9.221432681610528,80.31115152580975,81.13419968671381
0.2919999999999998,9.234082496638994,80.89784750160794,81.67983901561237
0.32399999999999984,9.244305358149031,81.44140682432426,82.18047426322673
0.35599999999999987,9.252488116068543,81.94187156448275,82.63646551854524
0.3879999999999999,9.258971154471466,82.39995071998555,83.04926796032579
0.41999999999999993,9.264085035158494,82.81701345354955,83.42070241613489
0.45199999999999996,9.268134432604334,83.19491137402186,83.75330245263362
0.484,9.271288605957887,83.5358118299756,84.04982168117218
0.516,9.273788243208678,83.84227482863672,84.31328898156221
0.548,9.275798534709178,84.11683420451452,84.54664395782792
0.5800000000000001,9.277422388625508,84.36205605948109,84.75282028520613
0.6120000000000001,9.2787519659818,84.58063002968055,84.93461099832197
0.6440000000000001,9.279869600968123,84.77512316762808,85.09470130878005
0.6760000000000002,9.28083083526398,84.9479176636809,85.23558387501858
0.7080000000000002,9.281700581065959,85.10121939091096,85.3595316059103
0.7400000000000002,9.28255096855572,85.23721078129118,85.46876094716598
0.7720000000000002,9.283470072319696,85.35806789456433,85.56532072554869
0.8040000000000003,9.284618313294363,85.46592602081819,85.6513242118392
0.8360000000000003,9.286181870907077,85.56290459708241,85.72889282579821
0.8680000000000003,9.28845823245353,85.65154201014325,85.80065938156325
0.9000000000000004,9.291809947238562,85.73479893180316,85.86979909693483
0.9319999999999995,9.296644166173815,85.8157948132668,85.93973071464322
0.9639999999999995,9.3034901364746,85.89874310853462,86.01504343754124
0.9959999999999996,9.31281123724283,85.9880414471404,86.10052729264598
1.0279999999999996,9.325009702993249,86.08867305061693,86.20161404367792
1.0599999999999996,9.340477820266804,86.20610561217329,86.32425439626611
1.0919999999999996,9.359411477180277,86.34557797284685,86.4739844269534
1.1239999999999997,9.381919156454051,86.51230009577968,86.6563262922866
1.1559999999999997,9.408008358888054,86.71112589448187,86.87602264660077
1.1879999999999997,9.437574981286108,86.9461871045015,87.13710892122333
1.2199999999999998,9.470525383205546,87.22105525825894,87.44291243119714
1.2519999999999998,9.506726383890438,87.53887474744499,87.79621153515383
1.2839999999999998,9.546096385324335,87.90219136592069,88.19896773790857
1.3159999999999998,9.588505790955246,88.3128997553768,88.65284357050838
1.3479999999999999,9.633799320987572,88.7728005287083,89.15911125725964
1.38,9.681703984991081,89.28284104162361,89.71816568302307
1.412,9.731829911112769,89.84344236311968,90.32988239412101
1.444,9.783637126220986,90.45392965012338,90.99281101808266
1.476,9.836403416987086,91.11245499178851,91.70419956758323
1.508,9.889283847491228,91.81565562902493,92.45961775156233
1.54,9.941386027710625,92.55877731133637,93.25314777905005
1.572,9.99178458528602,93.33535967891018,94.07694500813783
1.604,10.039618834987063,94.13785057515933,94.9219551804706
1.6360000000000001,10.084197436830607,94.95751131409527,95.7781595770318
1.6680000000000001,10.124935280156288,95.78491869988662,96.63495631289982
1.7000000000000002,10.161400217022496,96.6104051970725,97.48180530423376
1.7320000000000002,10.193578757864314,97.4248406233035,98.30871732791361
1.7640000000000002,10.22143125889713,98.21929354509271,99.10674085478652
1.7960000000000003,10.245031839156347,98.98612315654627,99.86818926417942
1.8280000000000003,10.264692866283536,99.71886984321901,100.5873860854082
1.8600000000000003,10.280908778539978,100.41237993962265,101.2588471616587
1.8920000000000003,10.293969614320678,101.06258826555266,101.88070332785294
1.9240000000000004,10.304411567720539,101.66782487744534,102.45099650023032
1.9560000000000004,10.312573890969961,102.22596867656783,102.97050882786473
1.9879999999999995,10.31884813594264,102.73765429858487,103.43963917354095
2.0199999999999996,10.323664166620544,103.20339436547675,103.86044045551286
2.0519999999999996,10.32719434366137,103.62508314796638,104.23621720552131
2.0839999999999996,10.329864469637847,104.00480753242448,104.56949630560639
2.1159999999999997,10.331771840352703,104.34586075886806,104.863641016442
2.1479999999999997,10.333128660515207,104.64920971678242,105.12290413290499
2.1799999999999997,10.33413597418069,104.91904868041067,105.34955385635327
2.2119999999999997,10.334810823014617,105.1586098323451,105.54806365899046
2.2439999999999998,10.335237122830096,105.37028498388109,105.72107809146802
2.276,10.335508644417466,105.55644215068249,105.87137302438194
2.308,10.335742883508074,105.72006833397981,106.0019111078106
2.34,10.335799198549699,105.86397067205556,106.11493183756582
2.372,10.33588933885865,105.98911610619686,106.21256325247612
2.404,10.3359,106.09904205127101,106.29688325014656
2.436,10.3359,106.19529357077394,106.37006086845561
2.468,10.3359,106.27902361806896,106.4333877705351
2.5,10.3359,106.35199932091506,106.48799949229294
2.532,10.3359,106.41506031636169,106.53459969365979
2.564,10.3359,106.47051554128484,106.5752327030939
2.596,10.3359,106.51853453082485,106.61002618791242
2.628,10.3359,106.55963763666038,106.6406778412852
2.66,10.335905599832522,106.59570272138927,106.66644710808222
2.692,10.335830694898144,106.62765940146862,106.68872969167093
2.724,10.335799334597057,106.65423944776171,106.70843860614778
2.7560000000000002,10.3358,106.6783002448749,106.72500900042814
2.7880000000000003,10.3358,106.69846480276081,106.73938643720876
2.8200000000000003,10.3358,106.71629600551948,106.75123200368759
2.8520000000000003,10.3358,106.73184705402056,106.76260706800674
2.8840000000000003,10.3358,106.74470451879891,106.77162449522253
2.9160000000000004,10.3358,106.7562242749016,106.7792413631204
2.9480000000000004,10.3358,106.76640679609088,106.7865536259335
2.9799999999999995,10.3358,106.77441598904741,106.7917999920285
3.0119999999999996,10.3358,106.7825266275255,106.79692013840857
3.0439999999999996,10.3358,106.7888534885311,106.80214701059707
3.0759999999999996,10.335799333770206,106.7941667800898,106.80511419508312
3.1079999999999997,10.33583069103608,106.79902078286408,106.80865296467111
3.1399999999999997,10.335905601126836,106.80279996222565,106.81187198032188
3.1719999999999997,10.3359,106.80664016651315,106.81388638523298
3.2039999999999997,10.3359,106.81036125978464,106.81634602985932
3.2359999999999998,10.3359,106.81287991294516,106.81850400402685
3.268,10.3359,106.81549778130223,106.81971999306582
3.3,10.3359,106.8170000167957,106.82100002015498
3.332,10.3359,106.8185452099136,106.8222799941359
3.364,10.3359,106.82061915948086,106.8235600234887
3.396,10.3359,106.82183998092077,106.82488120764152
3.428,10.3359,106.82313973964015,106.82510663782452
3.46,10.3359,106.824007986338,106.826007986338
3.492,10.3359,106.82469304448593,106.82669304448592
3.524,10.3359,106.82499410776255,106.82700666050728
3.556,10.3359,106.82601580744623,106.8272241739232
3.588,10.3359,106.82652167237784,106.8280615744444
3.62,10.3359,106.82698399767614,106.828
3.652,10.3359,106.82802354767283,106.82806968361204
3.684,10.3359,106.828,106.82906297929848
3.716,10.3359,106.8279370327237,106.829
3.748,10.3359,106.82893026251891,106.829
3.7800000000000002,10.3359,106.829,106.829
3.8120000000000003,10.3359,106.829,106.82893842844098
3.8440000000000003,10.3359,106.829,106.82977579082811
3.8760000000000003,10.3359,106.82899334326541,106.83
3.9080000000000004,10.3359,106.82930694619026,106.83
3.9400000000000004,10.3359,106.83005600445931,106.83
3.9720000000000004,10.3359,106.83,106.83
4.0040000000000004,10.3359,106.83,106.83
4.0360000000000005,10.3359,106.83,106.83
4.0680000000000005,10.3359,106.83,106.83
4.1,10.3359,106.83,106.83
